Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-1096.065	-1240.243	144.1774	2.373366	0.3935676
6	-1112.51	-1256.672	144.1612	2.348419	0.3380145
12	-1136.969	-1281.149	144.1799	2.348419	0.3595485
18	-1107.507	-1251.735	144.2284	2.348419	0.5133056
24	-1101.344	-1245.55	144.2053	2.359488	0.5829705
30	-1091.073	-1235.489	144.4158	2.046389	0.7795579
36	-1137.482	-1281.921	144.4385	2.134152	0.5490063
42	-1173.517	-1317.742	144.2251	2.066659	0.9783234
48	-1124.137	-1267.902	143.7655	1.437086	1.838319
54	-1109.842	-1253.798	143.9556	1.556678	1.620341
60	-1120.575	-1265.177	144.602	1.745312	0.9196069
66	-1137.285	-1281.503	144.2181	2.13365	0.9147065
72	-1132.057	-1276.525	144.4682	1.829443	0.9722747
78	-1162.691	-1306.699	144.0075	2.18924	1.071243
84	-1132.159	-1276.22	144.0608	2.025848	1.170593
90	-1100.476	-1244.838	144.3623	2.025848	0.8734473
96	-1131.331	-1275.579	144.2475	2.329715	0.5026133
102	-1122.298	-1266.423	144.1249	2.446131	0.5577278
108	-1096.317	-1240.556	144.2396	2.304619	0.6396459
114	-1107.979	-1252.258	144.2798	2.244466	0.6808182
120	-1082.159	-1226.337	144.1784	2.38949	0.5712712
126	-1105.129	-1249.195	144.0657	2.501517	0.5741767
132	-1096.064	-1240.53	144.4658	1.834723	0.9693715
138	-1120.191	-1263.734	143.5425	2.175833	1.467955
144	-1134.877	-1278.758	143.8811	1.967253	1.367513
150	-1148.992	-1293.255	144.2636	2.142522	0.8520738
156	-1128.494	-1272.591	144.0969	2.466308	0.4210399
162	-1140.387	-1282.688	142.3016	1.451806	2.767466
168	-1094.667	-1238.444	143.7775	1.10068	2.056641
174	-1118.561	-1261.084	142.5227	1.512451	2.594261
180	-1132.443	-1276.275	143.8323	1.512451	1.739663
186	-1130.196	-1274.564	144.3683	1.83015	1.069576
192	-1126.492	-1271.024	144.5322	1.712823	1.025029
198	-1163.278	-1307.786	144.5084	1.70136	1.058945
204	-1172.745	-1317.304	144.5588	1.667419	1.043208
210	-1142.064	-1286.641	144.577	1.628269	1.063189
216	-1173.766	-1317.823	144.0571	1.85687	1.315188
222	-1178.127	-1322.548	144.4209	1.49303	1.315188
228	-1220.321	-1363.756	143.435	1.542418	1.99075
234	-1213.373	-1356.908	143.5351	1.643901	1.85451
240	-1209.201	-1352.942	143.7413	1.836501	1.572697
246	-1157.624	-1302.054	144.4294	1.560597	1.252933
252	-1175.827	-1319.257	143.4296	1.470182	2.042363
258	-1164.473	-1308.285	143.8119	1.635138	1.667277
264	-1188.457	-1332.613	144.1563	1.41131	1.580128
270	-1161.776	-1306.212	144.4365	1.673959	1.149733
276	-1181.943	-1324.503	142.56	1.73612	2.431356
282	-1169.83	-1314.122	144.2916	2.211741	0.717545
288	-1158.968	-1302.854	143.886	2.672323	0.4089302
294	-1133.39	-1276.84	143.4502	2.816389	0.2018912
300	-1152.747	-1296.197	143.4502	2.816389	0.2018912
306	-1164.575	-1308.062	143.4879	2.816389	0.2154019
312	-1159.64	-1302.255	142.6157	3.215619	0.1083523
318	-1174.957	-1318.194	143.2373	2.904354	0.1657616
324	-1159.118	-1303.104	143.9862	2.504348	0.3196269
